daily_demand,Cluster,Silhouette,mean_temp,pressure,sunshine,precipitation,global_radiation,max_temp,min_temp
continuous,C1 C2 C3,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,
30654.4,C2,0.645877,19.9,101210,3.4,0.0,176,24.0,15.8
26033,C2,0.655385,21.2,101560,5.8,0.0,217,27.6,14.8
26871,C2,0.650707,20.3,101290,9.7,0.2,273,25.3,14.6
25846.9,C2,0.650907,20.4,100990,7.4,0.4,240,22.8,15.5
30245.2,C2,0.621408,18.6,100520,6.1,2.0,220,20.5,14.3
30808.7,C1,0.549127,17.3,100420,2.2,7.4,149,19.9,14.0
30678.4,C2,0.570738,16.3,101200,0.7,1.2,111,19.6,12.6
30358.4,C2,0.645763,15.1,101590,5.3,0.0,206,21.8,10.6
29780.2,C2,0.65308,16.2,101630,7.0,0.0,233,21.6,10.5
25263.6,C2,0.647584,19.7,100730,6.0,0.0,216,22.6,14.8
30183.7,C2,0.640145,18.1,100910,5.2,1.6,203,24.0,13.6
30720,C2,0.642944,18.8,100830,5.9,1.4,214,24.0,13.6
30704.1,C2,0.628169,19.4,101230,2.5,1.4,153,24.8,14.7
30275.9,C1,0.536217,16.7,100510,0.9,5.6,115,21.8,14.7
25931.4,C2,0.655482,17.5,101020,7.0,0.2,229,21.3,13.2
25572.6,C2,0.604006,17.1,101080,1.1,0.4,119,22.4,12.8
29755,C2,0.647111,17.3,101450,4.7,1.6,191,22.5,12.1
30967.7,C2,0.568359,18.2,100690,0.1,0.6,84,23.2,13.8
30152.5,C2,0.624914,19.0,100260,4.4,0.0,185,22.8,14.7
30171.9,C1,0.502179,18.4,100380,4.5,6.8,186,20.4,14.0
25953.2,C2,0.652599,18.5,102100,9.6,0.0,260,22.2,12.3
25071.8,C2,0.522226,17.8,101740,0.5,4.6,99,22.4,13.4
29393.1,C2,0.656477,17.7,101210,5.8,0.8,205,22.1,13.0
29584.2,C2,0.655378,17.2,101730,5.8,1.4,204,21.0,12.3
30254.7,C2,0.551842,18.1,101240,0.6,2.8,101,20.7,15.1
29318,C2,0.647005,16.3,101870,8.8,2.2,245,22.5,11.8
29065.1,C2,0.655578,17.2,102020,6.7,0.0,215,20.6,11.9
26127.1,C2,0.563486,18.1,100910,0.0,1.0,72,22.2,15.5
24921.2,C2,0.655516,16.7,101230,7.9,0.0,230,23.3,11.2
29287.1,C2,0.662014,17.6,101540,7.3,0.4,221,23.3,11.9
29646.6,C2,0.643148,19.0,101980,2.7,0.2,144,24.9,15.1
25986.6,C2,0.65786,18.6,102090,8.3,0.0,230,25.9,12.3
25251.9,C2,0.653232,20.7,101910,9.7,0.0,247,22.2,15.4
29981.8,C2,0.643954,19.0,101550,2.9,0.0,146,25.0,15.7
30517,C2,0.659666,20.4,101990,6.6,0.0,203,23.5,15.8
31007.1,C2,0.554837,19.5,101930,0.5,4.0,90,23.5,15.4
30619.1,C2,0.660875,19.6,101840,5.9,0.0,191,24.1,15.6
29811.2,C2,0.643278,19.2,101690,2.7,0.0,139,23.5,14.3
25972.4,C2,0.641907,19.7,101390,3.1,0.0,145,25.4,15.9
25245.5,C2,0.661441,20.2,101530,8.0,0.0,217,23.8,14.9
30033.1,C2,0.661949,18.3,101610,8.0,0.0,215,24.9,12.7
30879.1,C2,0.653406,18.9,101870,8.8,0.0,224,28.9,12.9
30615.2,C2,0.647963,19.4,101330,3.9,0.0,154,21.5,14.9
29485.7,C2,0.654137,17.2,102030,6.6,1.8,192,22.6,12.9
26221.3,C2,0.649847,17.0,102260,8.3,0.0,213,27.7,11.4
30368.7,C2,0.636836,19.9,100640,4.8,0.0,163,22.5,14.6
30455.9,C2,0.629345,17.3,100940,5.5,2.0,172,23.3,12.1
30626.4,C2,0.594725,18.8,101000,1.0,0.8,94,23.6,14.3
30451.4,C2,0.64889,20.0,101190,5.3,0.0,167,21.7,16.4
28729.6,C2,0.654445,17.1,101250,6.8,0.8,186,20.7,12.4
25157.5,C2,0.635131,15.0,102060,8.1,0.0,200,20.4,9.2
24790.6,C2,0.58992,15.3,101870,1.4,0.0,100,26.2,10.1
25710.5,C2,0.641948,21.4,101040,5.0,0.0,158,22.3,16.5
29828.6,C2,0.628928,18.5,100690,7.3,1.6,179,20.2,14.6
30359,C2,0.601172,16.6,99930,6.5,0.0,167,19.1,13.5
29517.4,C2,0.632894,15.0,100850,7.4,0.0,176,20.2,10.8
26364.6,C2,0.626198,15.1,102140,6.1,0.0,159,20.3,9.9
25805.2,C2,0.621766,16.8,102240,3.0,0.0,117,21.7,13.3
30969.6,C2,0.599174,18.0,101830,0.3,0.0,66,28.1,14.3
31421.5,C2,0.597336,16.8,102830,2.5,0.0,107,20.3,14.3
31051.4,C2,0.59647,15.0,103550,7.5,0.0,168,21.1,9.7
30535.9,C2,0.58408,15.7,103580,4.6,0.0,133,22.2,10.3
25914.6,C2,0.508611,14.3,102810,0.5,0.0,67,20.0,10.8
30594.9,C2,0.577245,16.4,102570,3.1,0.2,110,16.7,12.8
31354.7,C2,0.62126,17.2,102200,5.0,0.0,131,17.4,13.7
31691.4,C2,0.525729,14.6,102200,0.2,0.0,56,20.6,11.8
31101,C2,0.643819,15.7,101830,7.2,0.0,152,23.5,10.7
27600.5,C2,0.613205,18.3,101580,2.4,0.0,95,20.3,13.1
26374.2,C2,0.609246,17.2,102230,2.4,0.0,94,21.2,14.1
30725.3,C2,0.601644,15.6,102540,4.5,0.0,119,21.7,9.9
31253,C2,0.559241,16.7,102440,1.7,0.0,81,18.7,11.7
