daily_demand,date_format,Predicted_daily_demand,Fold,Month,mean_temp,pressure,cloud_cover,Year,sunshine,precipitation
continuous,time,continuous,1 2 3,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,meta,,,,,,,
33401.3,05-12-2010 00:00,32491.5,1,5,7.2,101520,4,2010,5.5,0
19795.5,29-08-2020 00:00,23788,1,8,13.8,100770,7,2020,3.6,0.4
34647,01-04-2017 00:00,33417.8,1,1,3.9,102570,5,2017,0,0
30127.9,29-06-2011 00:00,27942.5,1,6,15.4,102230,3,2011,9.7,0
25716.8,25-04-2018 00:00,26049.4,1,4,11.8,101200,4,2018,8.3,0.4
28891.7,29-11-2015 00:00,31306,1,11,8.8,100870,7,2015,0,2.2
29248.8,20-08-2010 00:00,29582.5,1,8,19.4,101550,7,2010,0.3,0
25923.2,18-07-2018 00:00,21776.2,1,7,20.8,101820,6,2018,6.3,0
26858.8,05-10-2019 00:00,25817.8,1,5,10.6,100880,5,2019,4.9,0
25818.1,17-07-2010 00:00,27749.5,1,7,17.5,101920,3,2010,8.2,0
32477.7,11-07-2016 00:00,31591.1,1,11,6.1,101190,4,2016,2.8,0
36758.4,27-01-2015 00:00,33495.1,1,1,6.1,102650,5,2015,3.6,0
36087.1,01-02-2009 00:00,38683.8,1,1,3.4,103000,6,2009,1.4,0
31235.6,30-10-2014 00:00,28768.9,1,10,15.4,101820,4,2014,0.2,0.2
31433.1,03-08-2017 00:00,29666.9,1,3,10.5,101270,8,2017,0.4,0.6
29964.5,19-06-2013 00:00,26088.3,1,6,20.7,101470,5,2013,4.9,0
33852,12-05-2017 00:00,30038.6,1,12,8.1,103540,8,2017,0,0
28273.7,20-04-2017 00:00,27866.9,1,4,10.8,103580,7,2017,3.5,0.4
25739.7,28-08-2018 00:00,24181.6,1,8,18.4,101710,8,2018,2.1,7.6
33161.3,01-07-2016 00:00,32726.3,1,1,7.8,98890,5,2016,1.7,1.4
32120.9,04-09-2010 00:00,31726.9,1,4,11.7,103330,4,2010,8.6,0
25875.1,29-12-2019 00:00,28560.7,1,12,8.7,103360,6,2019,2.2,0
33764.6,26-01-2018 00:00,31673.2,1,1,5.2,101890,6,2018,1.9,0
28729.6,28-08-2009 00:00,29957.3,1,8,17.1,101250,3,2009,6.8,0.8
22354.9,13-05-2017 00:00,25070.8,1,5,15.6,100780,6,2017,4.8,3.2
26566.2,17-05-2016 00:00,27339.9,1,5,12.8,101620,5,2016,4.5,0
33159.2,18-01-2015 00:00,34929.5,1,1,2.6,101210,4,2015,2.7,0.2
27462,19-04-2017 00:00,27402.8,1,4,8.9,103650,4,2017,11.8,0
21661.2,06-04-2020 00:00,24766.6,1,6,13.6,100410,7,2020,0.3,0
30202.9,10-06-2014 00:00,30417.9,1,10,10.4,100270,7,2014,0,8.8
25490.4,18-10-2020 00:00,27000,1,10,9.9,102390,7,2020,0,0
25459.7,19-07-2018 00:00,21911,1,7,21.6,101810,4,2018,7.3,0
28138.8,17-06-2014 00:00,25195.7,1,6,17.3,102740,4,2014,9.5,0.2
30444.9,09-02-2010 00:00,29238.7,1,9,16.1,102100,0,2010,11.7,0
27785,26-12-2012 00:00,33934.7,1,12,6.9,100410,4,2012,0.2,2.4
29258.1,13-08-2010 00:00,30616.1,1,8,14.5,101750,6,2010,1.3,4.8
31571.6,01-08-2012 00:00,34514.3,1,1,8.9,102680,7,2012,0.1,0
30397.9,06-01-2010 00:00,31311.5,1,6,13.6,101700,8,2010,0,1.8
31496.3,28-01-2017 00:00,32359.7,1,1,6.1,101010,6,2017,2.4,1
34088.5,19-04-2012 00:00,32291.7,1,4,9,98470,7,2012,1.8,2
36305.4,11-09-2009 00:00,35997.7,1,11,5.8,101870,3,2009,0.6,0.2
30549.4,11-10-2015 00:00,29578,1,11,14.2,102180,8,2015,0,0
30389.8,31-08-2011 00:00,30401.3,1,8,16.1,101570,7,2011,0.1,0
32529.5,22-03-2016 00:00,30414.7,1,3,7.6,101810,2,2016,9.6,0
19693.9,28-07-2018 00:00,22460,1,7,19.6,100650,5,2018,7.9,5
25705.7,25-03-2016 00:00,28923.2,1,3,11.2,101350,4,2016,9.6,0
29477.5,05-05-2012 00:00,32931.3,1,5,8,100990,8,2012,0.4,0.2
21018.1,06-03-2018 00:00,22493.4,1,6,20.1,101810,2,2018,9,0
22416.6,08-09-2015 00:00,24368,1,8,19.6,102030,2,2015,11.7,0
29280.1,27-12-2011 00:00,33452.5,1,12,10.4,103270,8,2011,0,0.2
29217.6,14-09-2012 00:00,28689.8,1,9,16.8,101370,5,2012,5,0
30219.9,03-08-2019 00:00,28965,1,3,6.7,100990,4,2019,3.4,1.2
27974.7,25-03-2012 00:00,30807.5,1,3,10.6,103360,0,2012,9.6,0
38365.8,03-10-2010 00:00,36831.1,1,3,4.1,102900,7,2010,0,0
32365,12-06-2017 00:00,29639.2,1,12,9.7,102730,8,2017,0,0.2
25208.8,26-07-2014 00:00,23441.9,1,7,23.6,101640,3,2014,10.8,0
29960.6,09-09-2013 00:00,30252,1,9,11.6,101660,4,2013,0.1,3.2
16450.6,28-06-2020 00:00,21768.8,1,6,17.2,100890,5,2020,2.6,1.8
24935.6,15-07-2012 00:00,28100.1,1,7,15.6,101570,6,2012,5.4,0.2
36560.3,23-01-2014 00:00,34431.9,1,1,5.5,101260,4,2014,2.9,1.2
28273,18-12-2020 00:00,27943.8,1,12,10.3,101130,8,2020,4.4,1.8
26697.2,15-05-2017 00:00,26633.3,1,5,15.2,102440,8,2017,0,0
26333.2,25-09-2011 00:00,29696.4,1,9,16.4,101550,3,2011,7.1,0
26623.5,29-06-2017 00:00,26201,1,6,15.4,99650,8,2017,0.5,0
32466.5,15-01-2018 00:00,31449.4,1,1,7.8,99900,6,2018,0.8,2.4
30840.9,21-12-2013 00:00,32728.4,1,12,8.2,101250,7,2013,0,6.4
28012.8,23-12-2018 00:00,29482.7,1,12,9.8,101780,8,2018,0,2.8
30724.8,11-11-2015 00:00,29271.9,1,11,14.5,102130,8,2015,0,0
